"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 01 14:39:03 GMT 2025","Sun Jun 01 14:39:05 GMT 2025","2421","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Jun 01 14:39:02 GMT 2025","Sun Jun 01 14:39:03 GMT 2025","1386","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Jun 01 14:38:53 GMT 2025","Sun Jun 01 14:38:55 GMT 2025","2153","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 01 14:38:58 GMT 2025","Sun Jun 01 14:39:00 GMT 2025","1505","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Jun 01 14:38:53 GMT 2025","Sun Jun 01 14:38:57 GMT 2025","3346","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Jun 01 14:39:05 GMT 2025","Sun Jun 01 14:39:07 GMT 2025","1807","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Jun 01 14:39:03 GMT 2025","Sun Jun 01 14:39:06 GMT 2025","2893","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Jun 01 14:38:59 GMT 2025","Sun Jun 01 14:39:01 GMT 2025","1659","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Jun 01 14:38:57 GMT 2025","Sun Jun 01 14:38:59 GMT 2025","1516","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 01 14:38:56 GMT 2025","Sun Jun 01 14:38:58 GMT 2025","1665","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
